parameter,time,control_or_change,rainfall,boxcox_streamflow,boxcox_streamflow_residual,boxcox_dot_to_line_residual,streamflow
intercept,1,Control,867.8279204205609,13.720504754696208,3.21856397864944,3.21856397864944,230.75155361272198
intercept,1,Change,867.8279204205609,11.670504754696209,1.1685639786494413,3.218563978649394,150.57241359686745
intercept,2,Control,1473.8974649224338,21.734998870635945,0.5829927537312116,0.5829927537312116,833.3401761537988
intercept,2,Change,1473.8974649224338,19.684998870635944,-1.467007246268789,0.5829927537311868,627.0714492206481
intercept,3,Control,1249.010871616602,20.078385384274693,2.878164891177441,2.878164891177441,663.5115813728237
intercept,3,Change,1249.010871616602,18.028385384274696,0.828164891177444,2.8781648911774447,488.8678639661433
intercept,4,Control,1227.2521057163892,20.45718056322261,3.6393126906718294,3.6393126906718294,699.9767151464573
intercept,4,Change,1227.2521057163892,18.407180563222614,1.5893126906718322,3.639312690671833,518.3664292824934
intercept,5,Control,1008.3856566279355,12.410539700723374,-0.5613306211182874,-0.5613306211182874,176.78392754115163
intercept,5,Change,1008.3856566279355,10.360539700723375,-2.6113306211182863,-0.5613306211182874,111.04316677815939
intercept,6,Control,1150.621307224815,19.326595062547234,3.8553102982570007,3.8553102982570007,595.1128022046885
intercept,6,Change,1150.621307224815,17.276595062547237,1.8053102982570035,3.855310298257004,433.83620473938157
intercept,7,Control,1129.6376820222395,14.057456114634572,-1.045097071699244,-1.045097071699244,246.30232190962758
intercept,7,Change,1129.6376820222395,12.007456114634575,-3.095097071699241,-1.0450970716992423,162.14238119621567
intercept,8,Control,1205.9165968899347,14.419086186015566,-2.023866686856511,-2.023866686856511,263.7926499047838
intercept,8,Change,1205.9165968899347,12.369086186015565,-4.073866686856512,-2.023866686856511,175.2371183675735
intercept,9,Control,676.7958215138258,8.64396401913411,1.498905888015674,1.498905888015674,71.05592343095175
intercept,9,Change,676.7958215138258,6.593964019134109,-0.5510941119843267,1.498905888015674,38.00501871593773
intercept,10,Control,1226.9854166651965,14.80308151002545,-2.0101000095371937,-2.0101000095371937,283.297224234557
intercept,10,Change,1226.9854166651965,12.75308151002545,-4.060100009537194,-2.0101000095371955,189.93356941950225
intercept,11,Control,1035.5778060815812,14.78713187242738,1.337431619900583,1.337431619900583,282.4676126577181
intercept,11,Change,1035.5778060815812,12.737131872427382,-0.712568380099416,1.337431619900583,189.30656645721814
intercept,12,Control,856.9322197601022,11.677527095440439,1.3670493701623325,1.3670493701623325,150.80745307545106
intercept,12,Change,856.9322197601022,9.62752709544044,-0.6829506298376664,1.3670493701623343,92.43794781830721
intercept,13,Control,784.2771966122829,9.248936374826052,0.2151780473223237,0.2151780473223237,83.74023013102045
intercept,13,Change,784.2771966122829,7.19893637482605,-1.834821952677678,0.21517804732232282,46.288959862095176
intercept,14,Control,1458.4449067494,21.96903869331682,1.0885703161305038,1.0885703161305038,859.5575757075267
intercept,14,Change,1458.4449067494,19.91903869331682,-0.9614296838694933,1.0885703161305074,648.5772712773879
intercept,15,Control,909.721015138703,14.539414620994362,3.301313778621081,3.301313778621081,269.80000415108196
intercept,15,Change,909.721015138703,12.489414620994362,1.2513137786210802,3.301313778621081,179.75344238557122
intercept,16,Control,804.5619750888739,9.207692915565442,-0.1825166115742647,-0.1825166115742647,82.82874960153018
intercept,16,Change,804.5619750888739,7.157692915565442,-2.2325166115742645,-0.1825166115742638,45.68750353423439
intercept,17,Control,962.9343908874013,10.441426627067337,-1.731758206693522,-1.731758206693522,113.24463793198011
intercept,17,Change,962.9343908874013,8.39142662706734,-3.781758206693519,-1.7317582066935184,66.18365027804559
intercept,18,Control,820.5351086594251,8.675780789144255,-0.9951142100965757,-0.9951142100965757,71.68705767030985
intercept,18,Change,820.5351086594251,6.6257807891442555,-3.0451142100965756,-0.9951142100965757,38.412556537035876
