metric,control,small_change,large_change,small_multiplier,large_multiplier,selected_change
Intercept,-3.200019347284208,-4.811761716414727,-25.914839918532813,1.503666445172706,8.098338511773754,-4.811761716414727
Slope,0.013584814580322976,0.018005585960594078,0.07557094045115241,1.325420075050152,5.56289819079413,0.018005585960594078
Autocorrelation,0.17424604392653187,0.2943982630295515,0.5596443494519883,1.6895549327574977,3.2118051970692294,0.5596443494519883
Standard Deviation,1.5191835670737448,2.5976340026521356,3.1317284977099034,1.7098881655596794,2.0614549588251845,3.1317284977099034
Skewness,0.016734806893545996,0.2748729239098976,0.7368229797913386,16.425222332019025,44.02936851787064,0.7368229797913386
