gauge,start_index,end_index,length
405218,2,56,55
405219,10,46,37
405219,48,49,2
405226,17,56,40
405227,13,56,44
405238,15,16,2
405238,18,56,39
405245,13,33,21
405245,35,56,22
405248,14,56,43
405251,16,41,26
405251,43,56,14
405263,18,52,35
405264,18,56,39
405274,20,56,37
406208,1,56,56
406213,18,36,19
406213,38,56,19
406214,15,50,36
406214,52,56,5
406224,18,53,36
407214,1,56,56
407215,18,36,19
407215,38,49,12
407215,51,56,6
407220,16,52,37
407230,16,56,41
407253,16,42,27
407253,46,53,8
407253,55,56,2
408200,7,36,30
408200,40,51,12
408202,9,52,44
408202,54,55,2
410057,1,56,56
410061,1,53,53
410705,1,5,5
410705,7,56,50
410730,6,31,26
410730,33,56,24
410731,8,31,24
410731,36,48,13
410731,50,56,7
410734,9,36,28
410734,38,50,13
410734,52,56,5
410761,17,22,6
410761,24,33,10
410761,35,42,8
410761,44,55,12
412028,3,40,38
412028,42,44,3
412028,46,55,10
412050,12,24,13
412050,26,45,20
412066,3,7,5
412066,9,10,2
412066,13,40,28
412066,43,46,4
412066,48,56,9
415207,6,56,51
415226,14,51,38
415226,54,56,3
415237,19,54,36
416003,21,52,32
416008,21,25,5
416008,27,28,2
416008,31,52,22
416008,54,56,3
418005,14,54,41
418014,13,14,2
418014,16,18,3
418014,20,30,11
418014,33,56,24
419005,1,6,6
419005,8,16,9
419005,18,20,3
419005,22,25,4
419005,27,31,5
419005,33,56,24
422202B,1,4,4
422202B,8,11,4
422202B,13,28,16
422202B,30,36,7
422202B,47,56,10
422306A,1,6,6
422306A,10,13,4
422306A,15,29,15
422306A,31,36,6
422306A,40,56,17
422313B,15,36,22
422313B,38,56,19
422319B,11,36,26
422319B,47,48,2
422319B,52,56,5
422321B,15,56,42
422334A,12,43,32
422334A,48,56,9
422394A,15,43,29
422394A,47,48,2
422394A,50,56,7
424002,18,56,39
424201A,10,13,4
424201A,15,22,8
424201A,25,26,2
424201A,28,29,2
424201A,32,33,2
424201A,40,42,3
424201A,51,56,6
604053,1,56,56
606001,18,56,39
606002,25,56,32
606185,6,40,35
606185,53,56,4
607155,4,41,38
607155,50,54,5
608002,18,56,39
610008,20,40,21
610008,48,56,9
613002,13,56,44
613146,4,56,53
614044,1,2,2
614044,4,5,2
614044,8,12,5
614044,14,17,4
614044,20,21,2
614044,23,56,34
616002,13,25,13
616002,27,56,30
616013,15,19,5
616013,21,24,4
616013,26,56,31
616065,13,15,3
616065,17,22,6
616065,24,25,2
616065,27,40,14
616065,51,55,5
803003,10,21,12
803003,24,39,16
804001,15,17,3
804001,20,21,2
804001,26,27,2
804001,30,56,27
809310,12,21,10
809310,25,40,16
809310,44,56,13
912101A,12,37,26
912101A,39,55,17
912105A,11,29,19
912105A,34,35,2
912105A,39,52,14
915011A,14,18,5
915011A,20,24,5
915011A,26,29,4
915011A,31,35,5
915011A,41,42,2
915011A,48,56,9
917107A,11,34,24
917107A,36,40,5
917107A,42,55,14
919003A,10,31,22
919003A,35,37,3
919003A,43,44,2
919003A,46,56,11
919201A,10,30,21
919201A,40,43,4
919201A,50,56,7
919309A,10,29,20
919309A,42,43,2
919309A,49,53,5
922101B,10,28,19
922101B,30,31,2
922101B,38,40,3
922101B,48,50,3
925001A,1,28,28
925001A,36,40,5
925001A,42,56,15
926002A,13,15,3
926002A,18,22,5
926002A,25,26,2
926002A,34,56,23
A0020101,9,28,20
A0020101,32,56,25
A0030501,16,56,41
A2390519,14,53,40
A2390519,55,56,2
A2390523,16,33,18
A2390523,35,55,21
A2390531,19,53,35
A5030502,12,56,45
A5040517,19,26,8
A5040517,28,32,5
A5040517,39,45,7
A5040523,20,23,4
A5040523,25,30,6
A5040523,36,56,21
A5050517,22,36,15
A5050517,39,47,9
A5050517,49,54,6
A5130501,16,51,36
A5130501,53,55,3
G0010005,8,15,8
G0010005,17,18,2
G0010005,22,34,13
G0010005,36,39,4
G0010005,42,43,2
G0010005,49,52,4
G0050115,15,56,42
G0060005,17,38,22
G0060005,40,50,11
G0060005,53,55,3
G8110004,7,14,8
G8110004,21,39,19
G8110004,48,50,3
G8110004,53,56,4
G8110016,18,19,2
G8110016,23,27,5
G8110016,31,32,2
G8110016,36,39,4
G8110016,47,52,6
G8110016,54,56,3
G8140001,4,12,9
G8140001,15,16,2
G8140001,18,22,5
G8140001,28,29,2
G8140001,32,37,6
G8140001,39,41,3
G8140001,45,54,10
G8140040,12,14,3
G8140040,17,18,2
G8140040,21,26,6
G8140040,28,38,11
G8140040,43,53,11
G8140040,55,56,2
G8140161,16,19,4
G8140161,26,27,2
G8140161,35,41,7
G8140161,44,48,5
G8140161,54,56,3
G8150018,13,16,4
G8150018,22,24,3
G8150018,29,30,2
G8150018,35,37,3
G8150018,41,42,2
G8150018,50,56,7
G8170002,8,12,5
G8170002,16,19,4
G8170002,23,26,4
G8170002,29,40,12
G8170002,47,51,5
G8170002,53,55,3
G8190001,21,22,2
G8190001,24,40,17
G8190001,44,50,7
G8200045,6,9,4
G8200045,15,18,4
G8200045,20,29,10
G8200045,31,33,3
G8200045,48,51,4
G8210010,31,32,2
G8210010,52,55,4
G9030124,20,25,6
G9030124,27,40,14
G9030124,47,49,3
G9030124,51,53,3
G9030250,10,11,2
G9030250,23,24,2
G9030250,29,30,2
G9030250,37,44,8
G9030250,51,56,6
G9070142,10,12,3
G9070142,18,23,6
G9070142,25,32,8
G9070142,34,38,5
G9070142,51,56,6
